RB_1_5 RB_1_10 RB_1_20 BB_1_5 BB_1_10 BB_1_20 
774.82 235.12 374.62 2263.85 1341.25 3375.37 
473.11 232.68 481.19 2085.33 1176.42 1180.57 
414.47 257.19 407.69 1193.21 2048.06 1549.65 
448.11 341.11 276.22 1230.04 2493.25 2551.33 
453.70 356.56 386.90 1069.45 2296.22 1132.04 
391.37 349.75 413.57 1301.40 834.99 781.30 
462.82 271.11 275.44 589.52 2080.04 1567.95 
986.51 257.59 445.55 1700.93 901.08 2946.22 
1157.39 313.15 460.16 808.32 1031.15 1512.61 
468.26 391.79 644.22 1166.21 1532.43 1517.79 
922.38 872.08 736.50 1798.97 1684.28 1766.34 
921.82 448.81 417.02 1414.04 1786.78 3947.96 
357.31 614.90 459.48 919.20 2052.27 1437.66 
602.75 449.30 401.93 1428.21 1467.30 5720.23 
655.18 536.98 843.66 985.45 1743.68 2228.46 
720.51 637.46 1175.35 801.51 2338.86 1089.89 
990.01 596.94 691.85 923.22 1433.24 3569.96 
597.36 547.41 752.63 922.09 1403.99 1194.78 
543.00 677.48 604.40 741.14 1678.93 3325.80 
373.80 786.12 601.72 3476.20 2257.25 1460.77 
