	trial	rt	condition	n_distractors
0	1	1204.96264614	BB	5
1	1	1714.30263023	BB	10
2	1	2270.6361915	BB	20
3	1	689.583594118	RB	5
4	1	719.106378186	RB	10
5	1	720.077918522	RB	20
6	2	1410.13815776	BB	5
7	2	1766.95272363	BB	10
8	2	2197.43927318	BB	20
9	2	690.200865542	RB	5
10	2	902.992158935	RB	10
11	2	874.47789047	RB	20
12	3	1442.01384041	BB	5
13	3	1905.68334293	BB	10
14	3	2177.01993027	BB	20
15	3	674.242394304	RB	5
16	3	791.628173758	RB	10
17	3	711.991557084	RB	20
18	4	1254.25594072	BB	5
19	4	1740.62650224	BB	10
20	4	2105.6675929	BB	20
21	4	783.916183535	RB	5
22	4	694.38548023	RB	10
23	4	836.675955426	RB	20
24	5	1272.09042261	BB	5
25	5	1626.80212748	BB	10
26	5	2168.87283838	BB	20
27	5	792.333758366	RB	5
28	5	853.952592371	RB	10
29	5	838.719759334	RB	20
30	6	1264.07076834	BB	5
31	6	1763.86957794	BB	10
32	6	2109.51383424	BB	20
33	6	795.809925604	RB	5
34	6	925.741441051	RB	10
35	6	789.739165319	RB	20
36	7	1105.3855846	BB	5
37	7	1775.71823008	BB	10
38	7	2174.33698259	BB	20
39	7	602.622907941	RB	5
40	7	860.664365167	RB	10
41	7	741.871591078	RB	20
42	8	1306.41479065	BB	5
43	8	1746.84465482	BB	10
44	8	1971.40983047	BB	20
45	8	871.229120071	RB	5
46	8	864.710281918	RB	10
47	8	608.055222271	RB	20
48	9	1239.29447338	BB	5
49	9	1686.3967089	BB	10
50	9	2391.03058948	BB	20
51	9	642.294821861	RB	5
52	9	746.141712922	RB	10
53	9	757.448873814	RB	20
54	10	1106.09402424	BB	5
55	10	1595.53005947	BB	10
56	10	2305.42059258	BB	20
57	10	957.634108907	RB	5
58	10	717.793311214	RB	10
59	10	1045.72378748	RB	20
60	11	1335.23401411	BB	5
61	11	1509.18302599	BB	10
62	11	2190.81041504	BB	20
63	11	780.61158428	RB	5
64	11	763.651470861	RB	10
65	11	801.232647267	RB	20
66	12	1503.61768296	BB	5
67	12	1729.44176285	BB	10
68	12	2145.64689891	BB	20
69	12	685.921434247	RB	5
70	12	638.781122974	RB	10
71	12	802.395308706	RB	20
72	13	1178.83682973	BB	5
73	13	1656.21756339	BB	10
74	13	2319.01168106	BB	20
75	13	673.096733633	RB	5
76	13	839.908655397	RB	10
77	13	926.432249058	RB	20
78	14	1129.57852703	BB	5
79	14	1722.6441537	BB	10
80	14	2011.40043255	BB	20
81	14	697.676577957	RB	5
82	14	825.393287348	RB	10
83	14	761.810275804	RB	20
84	15	1256.71189204	BB	5
85	15	1743.19097426	BB	10
86	15	2123.98055151	BB	20
87	15	690.357080281	RB	5
88	15	904.347333052	RB	10
89	15	930.819352192	RB	20
90	16	1361.83964505	BB	5
91	16	1635.57119692	BB	10
92	16	2130.00261557	BB	20
93	16	543.23035323	RB	5
94	16	887.448377427	RB	10
95	16	728.719596783	RB	20
96	17	1214.74495028	BB	5
97	17	1790.67108832	BB	10
98	17	2155.68578217	BB	20
99	17	880.006762295	RB	5
100	17	625.750288442	RB	10
101	17	608.605643478	RB	20
102	18	1480.88464445	BB	5
103	18	1798.43857169	BB	10
104	18	2071.10157014	BB	20
105	18	672.911319696	RB	5
106	18	823.184879906	RB	10
107	18	973.455991584	RB	20
108	19	1336.82042122	BB	5
109	19	1580.17480038	BB	10
110	19	2246.13099652	BB	20
111	19	877.140084574	RB	5
112	19	904.406377482	RB	10
113	19	665.964262366	RB	20
114	20	1241.96198578	BB	5
115	20	1708.95762397	BB	10
116	20	2215.32423498	BB	20
117	20	708.663538353	RB	5
118	20	919.743567097	RB	10
119	20	662.200352453	RB	20
